category,primary_skills,years_experience,experience_level,role,experience_score,layoff_risk,ai_impact_score,automation_risk,market_demand,skill_adaptability
ai/ml engineering,"Computer Vision, TensorFlow, Data Science",1.6,junior,ML Engineer,1,30,0.2,0.25,0.9,0.75
ai/ml engineering,"PyTorch, NLP, Computer Vision",6.2,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"Android, React Native, iOS",4.9,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"Python, Spark, BigQuery",6.9,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"SQL, Data Warehousing, BigQuery",8.8,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Node.js, HTML/CSS, React",3.2,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
mobile development,"Kotlin, Flutter, React Native",4.6,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"Python, BigQuery, SQL",5.4,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Python, Data Science, PyTorch",10,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"Python, NLP, Data Science",3.9,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
web development,"Node.js, HTML/CSS, Angular",3.5,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
web development,"Vue.js, HTML/CSS, Node.js",6.6,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"React, Vue.js, JavaScript",3.4,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
mobile development,"Android, Kotlin, React Native",0.9,junior,App Developer,1,45,0.5,0.5,0.7,0.65
devops,"AWS, Azure, CI/CD",5.8,senior,Cloud Engineer,3,25,0.2,0.2,0.9,0.85
ai/ml engineering,"NLP, Data Science, Python",7.2,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"Kotlin, Flutter, React Native",5,mid,App Developer,2,45,0.5,0.5,0.7,0.65
mobile development,"Flutter, iOS, React Native",8.3,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"Data Warehousing, BigQuery, ETL",6.9,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"HTML/CSS, React, Node.js",3.6,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
mobile development,"React Native, Flutter, Kotlin",4.7,mid,App Developer,2,45,0.5,0.5,0.7,0.65
mobile development,"React Native, iOS, Flutter",3.3,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"Spark, BigQuery, ETL",13,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Angular, JavaScript, Node.js",7.8,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
ai/ml engineering,"Computer Vision, Data Science, PyTorch",4.4,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
web development,"React, Angular, HTML/CSS",11.5,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"Data Warehousing, Spark, ETL",2.9,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
web development,"Vue.js, JavaScript, React",7.9,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"BigQuery, ETL, Spark",4,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
web development,"HTML/CSS, JavaScript, React",4.9,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
mobile development,"Kotlin, Swift, React Native",3.2,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
data engineering,"Spark, ETL, Data Warehousing",7.5,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"BigQuery, Python, ETL",2.8,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
mobile development,"Kotlin, Flutter, React Native",7,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"Data Warehousing, ETL, Python",11.8,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Node.js, JavaScript, Vue.js",12.4,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
devops,"AWS, CI/CD, Azure",4.1,mid,Cloud Engineer,2,25,0.2,0.2,0.9,0.85
ai/ml engineering,"Computer Vision, PyTorch, Data Science",8.1,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"PyTorch, NLP, Data Science",3.6,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
mobile development,"React Native, Kotlin, Swift",9.7,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"Node.js, Vue.js, HTML/CSS",7.7,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
ai/ml engineering,"NLP, TensorFlow, Computer Vision",4.4,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
mobile development,"Flutter, Swift, React Native",8.1,senior,App Developer,3,45,0.5,0.5,0.7,0.65
ai/ml engineering,"Python, PyTorch, Computer Vision",9.3,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"ETL, BigQuery, SQL",3.3,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Computer Vision, PyTorch, NLP",14,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"Data Warehousing, Spark, Python",9,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Data Science, Computer Vision, PyTorch",8.7,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"NLP, Data Science, TensorFlow",3.3,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
mobile development,"Kotlin, React Native, Android",6.2,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"BigQuery, ETL, SQL",8.3,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Angular, Node.js, React",11.6,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
data engineering,"Python, SQL, Spark",4.9,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
data engineering,"SQL, Python, ETL",10.3,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
mobile development,"Flutter, Kotlin, React Native",7.7,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"Vue.js, React, Angular",6.9,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"Node.js, React, HTML/CSS",6.3,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"React, Angular, Node.js",3.9,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
ai/ml engineering,"Computer Vision, Python, TensorFlow",4.2,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
web development,"Angular, JavaScript, Node.js",9.7,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
data engineering,"Python, BigQuery, ETL",7.8,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"BigQuery, ETL, Spark",1.9,junior,Data Analyst,1,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Python, NLP, PyTorch",2.8,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
